Modèle,Méthode,R² Score,RMSE,MAE,MAPE (%)
Random Forest,Sans Clustering,0.6101119223679174,4.451588107132432,3.238853461837929,5.622827995130159
Random Forest,Avec Clustering,0.8611000656206342,2.6570272972374984,2.161183509200575,3.819321645603604
Random Forest,Amélioration (%),+41.14%,+40.31%,+33.27%,-
XGBoost/LightGBM,Sans Clustering (XGBoost),0.8235301447180563,2.994885758774128,2.277065894657644,3.957088397028089
XGBoost/LightGBM,Avec Clustering (LightGBM),0.913276664596325,2.099485996338253,1.640407253935365,2.974230081840225
XGBoost/LightGBM,Amélioration (%),+10.90%,+29.90%,+27.96%,-
